country,continent,lifeExp,pop,LifeSatisfaction
Afghanistan,Asia,43.828,31889923,3
Albania,Europe,76.423,3600523,4
Algeria,Africa,72.301,33333216,5
Angola,Africa,42.731,12420476,6
Argentina,Americas,75.32,40301927,2
Australia,Oceania,81.235,20434176,3
Austria,Europe,79.829,8199783,3
Bahrain,Asia,75.635,708573,1
Bangladesh,Asia,64.062,150448339,6
Belgium,Europe,79.441,10392226,6
Benin,Africa,56.728,80783114,9
Bolivia,Americas,65.554,9119152,8
Botswana,Africa,50.728,1639131,5
Brazil,Americas,72.39,190010647,3
Bulgaria,Europe,73.005,7322858,4
Burkina Faso,Africa,52.295,14326203,3
Burundi,Africa,49.58,8390505,4
Cambodia,Asia,59.723,14131858,3
Cameroon,Africa,50.43,17696293,2
Canada,Americas,80.653,33390141,1
Central African Republic,Africa,44.741,4369038,5
Chad,Africa,50.651,10238807,8
Chile,Americas,78.553,16284741,8
China,Asia,72.961,1318683096,6
Colombia,Americas,72.889,44227550,3
Comoros,Africa,65.152,710960,3
"Congo, Dem. Rep.",Africa,46.462,64606759,4
"Congo, Rep.",Africa,55.322,380230610,9
Costa Rica,Americas,78.782,4133884,7
Cote d'Ivoire,Africa,48.328,180134109,8
Croatia,Europe,45.748,44932312,6
Cuba,Americas,78.273,11416987,5
Czech Republic,Europe,76.486,10228744,4
Denmark,Europe,78.332,54628120,2
Djibouti,Africa,54.791,496374,1
Dominican Republic,Americas,72.235,9319622,6
Ecuador,Americas,74.994,13755680,3
Egypt,Africa,71.338,80264543,8
El Salvador,Americas,71.878,6939688,2
Equatorial Guinea,Africa,51.579,551201,5
Eritrea,Africa,58.04,4906585,10
Ethiopia,Africa,52.947,76511887,3
Finland,Europe,79.313,5238460,4
France,Europe,80.657,61083916,2
Gabon,Africa,56.735,1454867,5
Gambia,Africa,59.448,1688359,6
Germany,Europe,79.406,82400996,3
